Entry Date,ID,Exit Date,Pages Viewed,Conversion
2015/01/01 12:01,8.89552E+18,2015/01/01 12:05,7,No
2015/01/01 12:01,6.48714E+18,2015/01/01 12:02,1,No
2015/01/01 12:02,1.27748E+18,2015/01/01 12:05,10,No
2015/01/01 12:02,3.77789E+18,2015/01/01 12:06,3,No
2015/01/01 12:04,6.20201E+18,2015/01/01 12:04,1,No
2015/01/01 12:04,7.37575E+18,2015/01/01 12:05,4,No
2015/01/01 12:04,1.16235E+18,2015/01/01 12:05,4,Yes
2015/01/01 12:04,8.37084E+18,2015/01/01 12:09,10,No
2015/01/01 12:04,5.21717E+18,2015/01/01 12:07,7,No
2015/01/01 12:04,9.20556E+18,2015/01/01 12:06,15,Yes
2015/01/01 12:05,4.03323E+18,n/a,10,No
2015/01/01 12:06,5.02436E+18,2015/01/01 12:06,1,No
2015/01/01 12:07,4.17677E+18,2015/01/01 12:08,1,No
2015/01/01 12:07,6.19474E+18,2015/01/01 12:07,1,No
2015/01/01 12:09,5.90115E+18,2015/01/01 12:10,1,No
2015/01/01 12:11,3.33465E+18,2015/01/01 12:11,1,No
2015/01/01 12:11,1.20459E+18,2015/01/01 12:14,2,No
2015/01/01 12:12,7.92852E+18,2015/01/01 12:12,1,No
2015/01/01 12:14,2.37232E+18,2015/01/01 12:15,1,No
2015/01/01 12:15,5.87421E+18,2015/01/01 12:17,2,No
2015/01/01 12:16,8.91821E+18,2015/01/01 12:18,3,No
2015/01/01 12:16,3.8956E+18,2015/01/01 12:18,3,No
2015/01/01 12:16,1.08712E+18,n/a,1,No
2015/01/01 12:16,1.73848E+18,2015/01/01 12:19,3,No
2015/01/01 12:18,7.11838E+18,2015/01/01 12:21,10,No
2015/01/01 12:19,3.28285E+18,2015/01/01 12:19,1,No
2015/01/01 12:19,4.56792E+18,2015/01/01 12:20,4,No
2015/01/01 12:19,7.20511E+16,2015/01/01 12:19,1,No
2015/01/01 12:19,6.89804E+18,2015/01/01 12:19,1,No
2015/01/01 12:19,6.0511E+18,2015/01/01 12:21,1,No
2015/01/01 12:20,6.75935E+18,2015/01/01 12:24,2,No
2015/01/01 12:21,5.86525E+16,2015/01/01 12:21,1,No
2015/01/01 12:22,1.46645E+18,2015/01/01 12:22,1,No
2015/01/01 12:23,2.29982E+18,2015/01/01 12:27,2,No
2015/01/01 12:23,5.0038E+18,2015/01/01 12:23,1,No
2015/01/01 12:25,6.31571E+18,2015/01/01 12:27,7,No
2015/01/01 12:25,2.58829E+18,2015/01/01 12:27,4,No
2015/01/01 12:26,2.24765E+18,2015/01/01 12:26,1,No
2015/01/01 12:27,1.86554E+18,2015/01/01 12:27,1,No
2015/01/01 12:26,3.04061E+18,n/a,4,No
2015/01/01 12:27,1.33851E+18,2015/01/01 12:27,1,No
2015/01/01 12:28,1.39424E+18,2015/01/01 12:29,10,No
2015/01/01 12:29,4.99766E+18,2015/01/01 12:29,1,No
2015/01/01 12:29,8.04445E+18,2015/01/01 12:30,10,No
2015/01/01 12:31,4.61801E+18,2015/01/01 12:35,8,No
2015/01/01 12:31,2.79081E+17,2015/01/01 12:41,4,No
2015/01/01 12:32,4.53523E+18,2015/01/01 12:36,7,No
2015/01/01 12:32,5.26519E+18,2015/01/01 12:35,7,No
2015/01/01 12:33,2.1504E+18,2015/01/01 12:34,6,No
2015/01/01 12:33,3.73418E+18,2015/01/01 12:33,1,No
2015/01/01 12:33,1.27197E+18,2015/01/01 12:45,9,Yes
2015/01/01 12:34,4.11939E+18,2015/01/01 12:34,1,No
2015/01/01 12:35,5.64725E+18,n/a,2,No
2015/01/01 12:35,7.28149E+18,2015/01/01 12:36,3,No
2015/01/01 12:36,6.22017E+18,2015/01/01 12:37,7,No
2015/01/01 12:36,8.83081E+18,n/a,7,No
2015/01/01 12:37,5.7376E+18,2015/01/01 12:40,8,No
2015/01/01 12:36,7.73717E+18,2015/01/01 12:43,5,No
2015/01/01 12:36,6.86284E+18,2015/01/01 12:52,11,Yes
2015/01/01 12:36,8.80528E+17,2015/01/01 12:39,10,No
2015/01/01 12:36,9.64021E+17,2015/01/01 12:38,2,No
2015/01/01 12:37,3.78033E+18,2015/01/01 12:37,1,No
2015/01/01 12:37,4.41135E+18,2015/01/01 12:40,6,No
2015/01/01 12:37,5.50796E+18,2015/01/01 12:37,1,No
2015/01/01 12:39,8.20884E+16,2015/01/01 12:40,10,No
2015/01/01 12:39,7.66913E+18,2015/01/01 12:40,2,No
2015/01/01 12:40,5.02428E+18,2015/01/01 12:45,6,No
2015/01/01 12:40,3.24056E+18,2015/01/01 12:44,9,No
2015/01/01 12:40,1.26266E+18,2015/01/01 12:46,9,No
2015/01/01 12:40,3.90667E+18,2015/01/01 12:41,1,No
2015/01/01 12:40,1.12408E+18,2015/01/01 12:43,6,No
2015/01/01 12:41,1.70759E+18,2015/01/01 12:41,1,No
2015/01/01 12:44,6.56255E+18,2015/01/01 12:46,7,No
2015/01/01 12:43,5.98405E+18,2015/01/01 12:44,1,No
2015/01/01 12:44,8.63425E+18,2015/01/01 12:45,10,No
2015/01/01 12:44,3.22896E+18,2015/01/01 12:44,1,No
2015/01/01 12:44,5.76281E+18,2015/01/01 12:44,RejectThis,No
2015/01/01 12:44,3.45067E+18,2015/01/01 12:46,6,No
2015/01/01 12:46,1.06837E+18,2015/01/01 12:48,8,No
2015/01/01 12:46,3.37914E+18,2015/01/01 12:46,1,No
2015/01/01 12:47,8.49106E+18,2015/01/01 12:48,12,Yes
2015/01/01 12:50,2.10148E+18,2015/01/01 12:52,10,No
2015/01/01 12:50,6.33038E+18,2015/01/01 12:53,6,No
2015/01/01 12:51,5.59079E+18,2015/01/01 12:53,3,No
2015/01/01 12:51,9.09177E+18,2015/01/01 12:51,1,No
2015/01/01 12:54,4.18904E+18,2015/01/01 12:54,1,No
2015/01/01 12:54,8.01401E+18,2015/01/01 12:55,9,No
2015/01/01 12:54,7.86948E+18,2015/01/01 12:57,6,No
2015/01/01 12:56,9.39482E+17,2015/01/01 12:57,3,No
2015/01/01 12:56,8.75637E+18,2015/01/01 12:59,5,No
2015/01/01 12:58,4.42545E+18,2015/01/01 12:58,1,No
2015/01/01 12:58,1.92828E+18,2015/01/01 12:59,3,No
2015/01/01 12:59,5.12865E+17,2015/01/01 13:00,8,No
2015/01/01 12:59,5.41712E+17,2015/01/01 13:02,9,No
2015/01/01 13:00,2.09788E+16,2015/01/01 13:03,4,No
2015/01/01 13:01,7.66059E+18,2015/01/01 13:07,6,No
2015/01/01 13:02,1.39573E+18,2015/01/01 13:09,9,No
2015/01/01 13:03,5.77867E+18,2015/01/01 13:04,1,No
2015/01/01 13:06,2.19034E+18,2015/01/01 13:29,11,Yes
2015/01/01 13:05,7.26008E+17,2015/01/01 13:07,5,No
